title	count
1997 discharge	22
2002 budget	128
2002 budget guidelines/ Financial perspective	78
2003, European Year of People with Disabilities	18
6th, 7th and 8th EDF discharge for 1999	22
ASEM process	36
Access to documents as implemented by Council and Commission	40
Access to medicaments for AIDS patients in the third world	20
Accession partnership with Turkey	56
Accession to the WTO	14
Accident at AZF, Toulouse, and EU environmental policy	36
Accident in the Gotthard Tunnel	14
Action taken on EIB annual report	22
Acts of terrorism in the United States	34
Address by His Holiness the XIVth Dalai-Lama	6
Address by Mr Kim Dae Jung, President of the Republic of Korea	6
Address by Mr Rau, President of the Federal Republic of Germany	8
Address by Mr Schuster, President of the Slovak Republic	6
Adjournment of the session	38
Afghanistan	20
Agenda	850
Aid for reconstruction	24
Aid scheme for olive oil	26
Aid system for cotton	20
Aid to uprooted people in developing countries	42
Air carrier liability in the event of accidents	24
Air pollution	24
Air strikes in Iraq	52
Animal by-products	30
Animal feedingstuffs/Vegetable proteins	42
Animal nutrition	18
Animal welfare	28
Announcement by the President	84
Announcements by the President	46
Anti-personnel mines	16
Approval of the Minutes of the previous sitting	328
Approval of the Minutes of the previous sittings	10
Approximation of civil and commercial law	20
Arbitrary arrests and the political situation in Laos	14
Area of freedom, security and justice	158
Arms exports	30
Assistants' statute	42
Association agreements	30
Association of overseas countries and territories with the EC	18
Asylum and immigration	100
Aviation safety	12
Award of Sakharov Prize 2001	8
Balanced participation of women and men in the decision-making process	48
Bangladesh	20
Basic education in developing countries	18
Beijing's application to host the 2008 Olympic Games	22
Better legal protection for accident victims	16
Biological and toxins weapons convention	14
Biotechnology industry	64
Bonn Conference on Climate Change	40
Broad economic guidelines for 2001	40
COM in beef and veal market	50
COM in fruit and vegetables	24
COM in sheepmeat and goatmeat	42
COM in the sugar sector	44
Carriers' liability	34
Charging for the use of transport infrastructure	34
Chemicals strategy	44
Circulation of compound feedingstuffs	22
Civil aviation	22
Civil emergency protection	8
Classical swine fever	20
Classification of Territorial Units for Statistics (NUTS)	18
Cluster bombs	16
Coastal zone management in Europe	22
Cod stock in the Irish Sea	12
Cohesion Fund (1999) – Structural Funds (1999)	30
Combating social exclusion	32
Combating terrorism	166
Combating terrorism/EUROJUST	80
Commemoration of the tragedy in the United States on 11 September 2001	2
Commission presentation of the preliminary draft budget for 2002	10
Commission reform	26
Commission reform: human resources	74
Commission work programme for 2001/Nice	96
Common fisheries policy	72
Common foreign and security policy (CFSP)	48
Common strategy on Ukraine	26
Communities' financial interests	18
Community Eco-Management and Audit Scheme (EMAS)	12
Community Environment Action Programme (2001-2010)	40
Community fisheries (1997-2001)	34
Community guarantee for EIB loans to former Yugoslavia	8
Community incentive measures in employment	30
Community incentive measures in the field of employment	18
Community programmes/Judicial network	16
Company accounts	44
Competition policy (2000)	16
Competitiveness of EU forest-based and related industries	60
Compulsory safety belts	12
Conclusions of the G8 meeting in Genoa	72
Conclusions of the UN Conference on Racism	52
Conflict prevention	34
Conflict prevention and crisis management	56
Consequences of recent events for the safety of air transport and industrial installations including nuclear power plants	52
Consumption of alcohol by children and adolescents	38
Conversion of vessels and of fishermen dependent on the fishing agreement with Morocco	24
Coordination of transport by rail, road and inland waterway	26
Copyright and related rights in the Information Society	52
Cosmetic products	46
Council and Commission mission to Korea	18
Council priorities for the meeting of the United Nations Human Rights Commission in Geneva	34
Council reform	48
Credit institutions	16
Cross-border payments in euro	34
Cross-border provision of occupational pensions	20
Cultural cooperation in the EU	26
DSABs 3 and 4/2001 – EU own resources in 2001-2002 budget (conciliation procedure)	40
Data protection in electronic communications	14
Data protection in electronic communications (continuation)	34
Deadlock in negotiations on the EU/Morocco Fisheries Agreement	28
Death penalty in the world	26
Decision on urgent procedure	78
Decisions on freezing assets or evidence	10
Deliberate release of GMOs into the environment	52
Determination of Member States' payments to VAT-based own resource	10
Determination of Member States’ payments to the VAT-based own resource	14
Development of the external service	38
Development policy	36
Direct support schemes under the CAP	26
Disasters	36
Discharges	24
Discharges (continuation)	60
Draft SAB 1/2001	58
Draft SAB 2/2001	16
Draft general budget for 2002 (as amended by the Council) and Letter of Amendment 2/2002	82
Drought in Central America	16
