title	count
18th report on better legislation - Application of the principles of subsidiarity and proportionality (2010) (debate)	58
19th session of the UN Human Rights Council (B7-0071/2012 ) (vote)	6
19th session of the UN Human Rights Council (debate)	70
2012 progress report on Albania (B7-0533/2012 ) (vote)	8
2012 progress report on Albania (debate)	38
2013 budget - mandate for trialogue (debate)	78
2013 budget - mandate for trilogue (A7-0215/2012 - Giovanni La Via) (vote)	10
2013 budgetary procedure: work of the Conciliation Committee (debate)	58
6th World Water Forum (B7-0130/2012 ) (vote)	2
6th World Water Forum (debate)	66
A 2020 perspective for women in Turkey (short presentation)	30
A competitive digital single market - eGovernment as a spearhead (short presentation)	34
A digital freedom strategy in EU foreign policy (short presentation)	18
A new strategy for Afghanistan (debate)	48
A new sustainable and competitive steel industry (B7-0550/2012 ) (vote)	6
A resource-efficient Europe (debate)	158
Access to basic banking services (debate)	56
Activities of the Committee on Petitions (2011) (A7-0240/2012 - Giles Chichester) (vote)	6
Activities of the Committee on Petitions (2011) (debate)	48
Addressing the EU diabetes epidemic (debate)	62
Adjournment of the session	30
Administration of certain Community tariff quotas for high-quality beef, and for pigmeat, poultrymeat, wheat and meslin, and brans, sharps and other residues (A7-0212/2012 - Vital Moreira) (vote)	10
Agreement between the EU and Morocco concerning reciprocal liberalisation measures on agricultural products and fishery products (A7-0023/2012 - José Bové) (vote)	10
Agreement between the EU and Morocco concerning reciprocal liberalisation measures on agricultural products and fishery products (B7-0047/2012 ) (vote)	6
Agreement between the EU and Morocco concerning reciprocal liberalisation measures on agricultural products and fishery products (debate)	126
Agricultural product quality schemes (A7-0266/2011 - Iratxe García Pérez) (vote)	4
Agricultural product quality schemes (debate)	76
Alleged transportation and illegal detention of prisoners in European countries by the CIA (debate)	64
Amendment of Rule 70 on interinstitutional negotiations in legislative procedures (A7-0281/2012 - Enrique Guerrero Salom) (vote)	4
Amendment of Rules of Procedure with regard to the implementation of the European citizens’ initiative (A7-0148/2012 - Zita Gurmai) (vote)	12
An EU approach to criminal law (short presentation)	22
Announcement by the President	8
Announcement of the candidates for election to the office of President	2
Announcements by the President	4
Annual human rights report (debate)	26
Annual report from the Council to the European Parliament on the Common Foreign and Security Policy (A7-0252/2012 - Elmar Brok) (vote)	40
Annual report on human rights and democracy in the world 2011 and the European Union's policy on the matter (A7-0377/2012 - Leonidas Donskis) (vote)	12
Annual report on human rights and democracy in the world 2011 and the European Union's policy on the matter - EU's human rights strategy (debate)	124
Annual report on the activities of the European Ombudsman 2011 (debate)	48
Annual tax report (short presentation)	30
Anti-Counterfeiting Trade Agreement between the EU and its Member States, Australia, Canada, Japan, the Republic of Korea, Mexico, Morocco, New Zealand, Singapore, Switzerland and the USA (A7-0204/2012 - David Martin) (vote)	12
Anti-Counterfeiting Trade Agreement between the EU and its Member States, Australia, Canada, Japan, the Republic of Korea, Mexico, Morocco, New Zealand, Singapore, Switzerland and the USA (debate)	256
Application of Waste Management Directive (A7-0335/2011 - Carlos José Iturgaiz Angulo)	10
Application of waste management directive (debate)	82
Appointment of a member of the Court of Auditors - Mr Baudilio Tome Muguruza / ES (A7-0036/2012 - Inés Ayala Sender) (vote)	6
Appointment of a member of the Executive Board of the European Central Bank (A7-0348/2012 - Sharon Bowles) (vote)	6
Appointment of a new Commissioner (vote)	4
Approval and market surveillance of two- or three-wheel vehicles and quadricycles - Approval of agricultural or forestry vehicles (debate)	56
Approval of the minutes of the previous sitting	14
Attractiveness of investing in Europe (short presentation)	26
Autonomous tariff quota for imports of high-quality beef (debate)	40
Avoiding food wastage (A7-0430/2011 - Salvatore Caronna) (vote)	2
Avoiding food wastage (short presentation)	54
Award of the Sakharov Prize (formal sitting)	14
Azerbaijan (debate)	62
Azerbaijan: the case of Ramil Safarov	58
Baltic salmon stock and the fisheries exploiting that stock - Conservation of fishery resources through technical measures for the protection of juveniles of marine organisms - Removal of fins of sharks on board vessels - Small-scale and artisanal fisheries and CFP reform - External dimension of the common fisheries policy (debate)	114
Biometric passports	56
Black Sea strategy (debate)	40
Blind persons’ access to books (debate)	60
Bluefin tuna in the eastern Atlantic and Mediterranean (A7-0449/2011 - Raül Romeva i Rueda) (vote)	4
Bluefin tuna in the eastern Atlantic and Mediterranean (debate)	48
Bologna process (A7-0035/2012 - Luigi Berlinguer) (vote)	4
Bologna process (short presentation)	26
Breaches of Schengen rules (debate)	104
Budgetary control of EU humanitarian aid (short presentation)	30
Calendar of part-sessions	2
Call for concrete ways to combat tax fraud and tax evasion (B7-0203/2012 ) (vote)	2
Call for concrete ways to combat tax fraud and tax evasion (debate)	56
Card, internet and mobile payments (short presentation)	30
Cases of impunity in the Philippines (debate)	46
Cases of restructuring in the European car industry (debate)	62
Caste discrimination in India	42
Caste discrimination in India (B7-0564/2012 ) (vote)	6
Children with Down syndrome (written declaration)	4
Climate change conference in Doha (COP 18) (debate)	66
Closing of the session	2
Closure of the sitting	60
Collective rights management (debate)	34
Combating algal blooms (written declaration)	4
Commission Question Time	112
Commission work programme 2013 (debate)	32
Common commercial policy (debate)	30
Common consolidated corporate tax base (debate)	80
Common organisation of the markets in fishery and aquaculture products (A7-0217/2012 - Struan Stevenson) (vote)	4
Common rules for direct support schemes for farmers - Support for rural development by the European Agricultural Fund for Rural Development - Common organisation of agricultural markets and specific provisions for certain agricultural products - Financing of the common agricultural policy - Organic production and labelling of organic products - System of financing by the European Agricultural Guarantee Fund (debate)	54
Common system for taxing financial transactions (continuation of debate)	62
Common system for taxing financial transactions (debate)	154
Common visa restrictions for Russian officials involved in the Sergei Magnitsky case (A7-0285/2012 - Kristiina Ojuland)	6
Common visa restrictions for Russian officials involved in the Sergei Magnitsky case (short presentation)	20
Community regime for the control of exports, transfer, brokering and transit of dual-use items (debate)	32
Competitive low-carbon economy in 2050 (debate)	128
Completing the digital single market (short presentation)	38
Composition of committees and delegations	6
Composition of committees and delegations: see Minutes	4
Conclusion, on behalf of the EU, of the Food Assistance Convention (A7-0309/2012 - Nirj Deva) (vote)	4
Conclusions of the European Council meeting (1-2 March 2012) (debate)	182
Conclusions of the European Council meeting (18-19 October 2012) (debate)	128
Conclusions of the European Council meeting (28-29 June 2012) (debate)	162
Conclusions of the European Council meeting (8-9 December 2011) on a draft international agreement on a Fiscal Stability Union (vote)	32
Conclusions of the informal European Council meeting of 30 January 2012 (debate)	146
Conservation and sustainable exploitation of fisheries resources (A7-0225/2012 - Carl Haglund) (vote)	6
Conservation and sustainable exploitation of fisheries resources (A7-0314/2012 - Ian Hudghton) (vote)	4
Conservation of fishery resources through technical measures for the protection of juveniles of marine organisms (A7-0342/2012 - Pat the Cope Gallagher) (vote)	10
Consistent policy towards regimes against which the EU applies restrictive measures (debate) (short presentation)	24
Consular protection for citizens of the Union abroad (A7-0288/2012 - Edit Bauer) (vote)	4
Continued and increased support for vaccinations in developing nations (written declaration)	6
Contractual relations in the milk and milk products sector (debate)	100
Contribution to the Annual Growth Survey 2012 (A7-0018/2012 - Jean-Paul Gauzès) (vote)	2
Convention on the Civil Aspects of International Child Abduction (debate)	26
Coordination of social security systems (debate)	66
Corporate governance framework for European companies (A7-0051/2012 - Sebastian Valentin Bodu) (vote)	6
Corporate governance framework for European companies (debate)	64
Corrections to votes and voting intentions: see Minutes	46
Creation of unitary patent protection - Unitary patent protection - Jurisdictional system for patent disputes (debate)	140
Critical information infrastructure protection: towards global cybersecurity (short presentation)	26
Croatian observers in the European Parliament	2
Cross-border transfer of company seats (A7-0008/2012 - Evelyn Regner)	6
Cross-border transfer of company seats (short presentation)	20
