title	count
1997 discharge	30
1998 discharge	66
1998 discharge (continuation)	6
1998 discharge, budgetary control	94
2001 Budget – Parliament’s estimates	30
2001 budget	48
2001 budget (conciliation procedure)	46
2001 budget (continuation)	32
2001 budget procedure	76
2001 budget procedure (continuation)	58
2001 budgetary guidelines	60
2001: European Year of Languages	30
50th anniversary of the Geneva Convention – humanitarian law	36
50th anniversary of the UNHCR	16
ACP-EU Joint Assembly	28
ALTENER	18
ASEM III	12
Accidental or deliberate marine pollution	26
Action plan for Albania and the neighbouring region	34
Action programme of the Portuguese Presidency including the situation in Angola	90
Additional Commission contribution to the IGC	30
Additionality	40
Additives in feedingstuffs	30
Additives other than colours and sweeteners	14
Address by Mr Ciampi, President of the Italian Republic	6
Address by Mr Klestil, President of the Republic of Austria	6
Address by Mr Kostunica, President of the Federal Republic of Yugoslavia	6
Address by Mr Kuçan, President of the Republic of Slovenia	6
Address by Mr Vaclav Havel, President of the Czech Republic	6
Adjournment of the session	36
Adoption of single currency by Greece	28
Adoption of single currency by Greece (continuation)	26
Adoption of the Minutes of the previous sitting	282
Aeroplane “hushkits”	48
Afghanistan	22
Agenda	574
Agreement on comitology	12
Agricultural prices	34
Aid for reconstruction	32
Aid for reconstruction (continuation)	16
Aid to uprooted people in Asia and Latin America	22
Aids	30
Air transport and the environment	32
Animal nutrition	38
Animal nutrition inspections	14
Annex – formal sitting	12
Announcement of the removal of Mr Le Pen from office	6
Annual legislative programme (continuation)	78
Anti-personnel mines	46
Anti-personnel mines (continuation)	10
Application of Community law (1998)	36
Appointment of senior Commission officials	28
Approval of the Minutes of the previous sitting	566
Approval of the Minutes of the two previous sittings	28
Area of Freedom, Security and Justice	54
Arms trade code of conduct	20
Arms trade code of conduct (continuation)	20
Assessment and management of environmental noise	50
Asylum procedures	32
Atmospheric pollutants	32
BSE and general ban on animal meal in feedingstuffs	68
Bananas COM	32
Bananas COM (continuation)	10
Bankruptcy procedures	12
Basic freedoms in Serbia and Kosovo	30
Beef and beef products	74
Better lawmaking	32
British Nuclear Fuels at Sellafield	30
British submarine at Gibraltar	36
Broad outlines of economic policies	54
Burundi	18
CAP: information measures	18
CITES	30
COM in bananas	60
COM in milk	36
COM in pigmeat	34
CULTURE 2000	30
Calendar of part-sessions for 2001	2
Capital tax	48
Carbon dioxide emissions from new cars	20
Central American Parliament	16
Change to the agenda	2
Charter of Fundamental Rights	94
Chechnya	58
Child pornography on the Internet	46
China's accession to WTO	34
Civil dialogue	22
Civil liability and motor vehicles	10
Climate change – Floods	78
Clinical trials of medicines for human use	20
Closing of the session	2
Cocoa and chocolate products	34
Cocoa and chocolate products (continuation)	26
Cod stocks in the Irish Sea	22
Coherence of EU policies with development	58
Coherent European approach for space	20
