title	count
'Television without frontiers'	32
2000 discharge follow-up	20
2001 discharge procedure	74
2001 discharges (decentralised agencies)	18
2002 Annual debate on an area of freedom, security and justice	42
2002 review of the Internal Market Strategy	22
2004 budget conciliation procedure	26
2004 budget procedure	96
2004 financial year	10
59th UNHCR meeting (Geneva, 17.03 – 25.04.2003)	38
A New Framework for Relations with our Eastern and Southern Neighbours	54
ACP bananas	16
ACP cooperation and the EU budget	10
Access to EP, Council and Commission documents	28
Aceh	18
Activities and supervision of institutions for occupational retirement provision	42
Activities of the European Ombudsman in 2002	20
Addition of water and proteins to chicken meat	14
Additives in animal nutrition	22
Address by Mary McAleese, President of Ireland	4
Address by Mr Abdoulaye Wade, President of the Republic of Senegal	4
Address by Mr Aleksander Kwasniewski, President of the Republic of Poland	4
Address by Mr Boris Trajkovski, President of the Former Yugoslav Republic of Macedonia	6
Address by Mr Bouteflika, President of the People's Democratic Republic of Algeria	4
Address by Mr Ion Iliescu, President of Romania	8
Address by Mr Rolandas Paksas, President of the Republic of Lithuania	4
Address by Mrs Vaira Vike-Freiberga, President of the Republic of Latvia	8
Adequacy of banks' own funds (Basel II)	28
Adequate and sustainable pensions	42
Adjournment of the session	36
Adjustment of the financial perspective to take account of enlargement	36
Adoption of a Statute for Members of the European Parliament	52
Afghanistan: one year after the Bonn Agreement	58
Afghanistan: one year after the Bonn Agreement (continuation)	12
Agenda	42
Agenda (continuation)	4
Aid for poverty diseases	36
Aid for sexual health in developing countries	60
Air service agreements between Member States and third countries	22
Alignment of social security rights and the simplification of procedures	44
Annex – Position of the Commission	2
Annex – formal sitting	16
Announcement by the President	64
Announcements by the President	8
Application of EC-Israel Association Agreement	42
Appointment of a member of the ECB Executive Board	24
Appointment of the ECB President	30
Approval of the Minutes of the previous sitting	72
Arms exports	24
Assessment of OLAF	32
Assistance for removal by air	12
Assistance in cases of transit (removal by air)	20
Authorisation of generic medicines at WTO level	44
Basic rights in the EU (2001)	64
Bathing water	36
Better lawmaking	44
Breast cancer	66
Breast implants	40
Broad economic policy guidelines (2003-2005)	58
Burma	42
Burundi	18
Calendar of part-sessions	10
Cambodia	38
Cancer screening	26
Capacity-building in developing countries	14
Chechnya	54
Clearing and settlement in the European Union	24
Closing of the session	2
Closure of undertakings after receiving EU financial aid	28
Coexistence of GM crops with conventional and organic crops	26
Cogeneration	22
Cogeneration based on a useful heat demand in the internal energy market	34
Cohesion policy	88
Combating HIV/AIDS, malaria and tuberculosis in developing countries	52
Commission policy strategy for 2004/2004 budget guidelines	76
Common fisheries policy	22
Community actions in support of consumer policy 2004-2007	20
Community cooperation with Asian and Latin American countries	34
Community greenhouse gas emissions and the Kyoto Protocol	22
Community railways	58
Comparative tests and trials for seeds	24
Compensation and assistance to air passengers	64
Compensation to crime victims	18
Conditions of entry and residence of third-country nationals	34
Conservation and protection of the marine environment	18
Consumer Policy Strategy 2002-2006	108
Control of foot and mouth disease	44
Conversion of fishing vessels and fishermen	14
Coordination of social security systems	50
Cosmetics	44
Crisis in the steel sector and the measures to be taken at Community level	30
Crisis on the international coffee market	24
Cultural industries	30
DAPHNE II (2004 – 2008)	44
Dangerous substances and preparations C/M/R	10
Debate on the European Convention	16
Debate on the European Convention (continuation)	32
Debates on cases of breaches of human rights, democracy and the rule of law (Rule 50)	22
Decentralised cooperation (2004-2006)	20
Decision on urgent procedure	34
Defence equipment	34
Deliberations of the Committee on Petitions 2002-2003	24
Democratic Republic of the Congo – the Ituri region	20
Demolition of contaminated US warships in the EU	22
Detergents	52
Developing countries	48
Difficulties encountered in European beekeeping	18
Discrimination against MS patients	42
Draft 2004 budget as amended by the Council and Letters of Amendment 1,2,[amp] 3/2004	66
Drug dependence	44
EBRD activities	50
EC Merger Regulation	26
EC development policy	8
EC-Chile Association Agreement	26
EC-China maritime transport agreement	12
EC-Côte d'Ivoire fisheries agreement	16
EC-Guinea fishing agreement	12
EC-Lebanon	42
ECB 2002 annual report	32
ECB Statute	34
ECS: Statute	34
EU information and communication strategy	30
EU-Belarus relations	34
EU-Canada summit (Ottawa, 17 December 2003)	12
EU-Cuba relations	42
EU-Mozambique fisheries agreement	20
EU-USA extradition agreement and the International Criminal Court	38
EU-USA judicial cooperation agreements	42
Economic accounts for agriculture	10
Economic and Monetary Union	58
Economic forecasts for spring; guidelines for employment	36
Ecopoint system for Croatian traffic in transit through Austria	10
Ecopoint system in Austria in 2004	46
Effect of low-frequency active sonar on marine life	10
Effects of the summer heatwave	66
Election 2004: balanced representation for women and men	32
Elections in Nigeria	10
Electronic road toll systems	52
Employee financial participation	18
Employment prospects in the EU automobile sector	40
Employment strategy and social policy	52
Energy	66
Energy cooperation with the developing countries	20
Enhancing ship and port facility security	40
